epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,247.158,1.27309,2.39742,1.39233,0.02793,1.47549,0.78399,0.39559,0.42965,0.15106,0.20433,0.11111,0.08864,0.05101,2.52982,3.73137,2.56667,0.09807,0,0.000800131,0.000800131,0.000800131
91,249.56,1.50285,2.15794,1.34022,0.03124,1.37967,0.81596,0.40182,0.45105,0.16674,0.32331,0.11111,0.09768,0.04606,2.58983,3.85702,2.80441,0.10334,0,0.000795954,0.000795954,0.000795954
92,252.16,1.37424,2.53691,1.05999,0.03012,1.39623,0.96586,0.36198,0.433,0.13974,0.36633,0.05556,0.06612,0.04227,2.84479,4.11799,2.62575,0.11709,0,0.000791744,0.000791744,0.000791744
93,254.56,1.57165,2.77283,1.58234,0.03068,1.58253,0.94829,0.35337,0.43342,0.12473,0.23766,0.05556,0.03075,0.02186,2.86485,4.07974,2.59179,0.11784,0,0.000787503,0.000787503,0.000787503
94,257.027,1.277,2.52039,1.24635,0.02531,1.45733,0.55272,0.42222,0.39675,0.13406,0.21216,0.05556,0.03104,0.02484,2.60741,4.11664,2.64899,0.10564,0,0.000783231,0.000783231,0.000783231
95,259.442,1.28984,2.33811,1.14303,0.02751,1.49642,0.60669,0.32222,0.33977,0.12747,0.20475,0.05556,0.03083,0.02466,2.71126,4.12474,2.53321,0.11053,0,0.000778929,0.000778929,0.000778929
96,262.058,1.32303,2.28468,1.30158,0.02514,1.34521,0.58139,0.32222,0.31358,0.1198,0.47298,0.11111,0.11502,0.03264,2.75032,4.2377,2.72643,0.11045,0,0.000774596,0.000774596,0.000774596
97,264.527,1.39725,2.27797,1.30173,0.02873,1.41365,0.49601,0.26667,0.26796,0.11029,0.74549,0.05556,0.05866,0.04693,2.71239,4.16133,2.93903,0.10746,0,0.000770234,0.000770234,0.000770234
98,267.021,1.41406,2.49276,1.38633,0.02732,1.47364,0.44987,0.26667,0.28044,0.14175,0.97713,0.05556,0.05859,0.04687,2.773,4.3183,2.78079,0.11173,0,0.000765843,0.000765843,0.000765843
99,269.516,1.24326,2.23972,1.05165,0.02619,1.18295,0.58263,0.26667,0.26248,0.13781,0.98211,0.11111,0.1143,0.0524,2.69188,4.48122,2.82567,0.11004,0,0.000761423,0.000761423,0.000761423
100,272.032,1.26837,2.40007,1.21908,0.02476,1.30086,0.65114,0.26667,0.30848,0.13434,0.80906,0.11111,0.09597,0.03131,2.48974,4.72234,3.15001,0.10161,0,0.000756976,0.000756976,0.000756976
101,274.461,1.34352,2.40397,1.24187,0.02709,1.79172,0.80119,0.26667,0.34032,0.15572,0.38128,0.19687,0.16448,0.046,2.60784,4.92005,2.77803,0.10578,0,0.0007525,0.0007525,0.0007525
102,277.032,1.47433,2.49092,1.39895,0.03123,1.49121,0.63075,0.32222,0.34163,0.17679,0.6633,0.21111,0.19563,0.06108,2.28543,4.79243,2.88276,0.09181,0,0.000747997,0.000747997,0.000747997
103,279.519,1.26241,2.27831,1.36357,0.02677,1.61048,0.65588,0.26667,0.2752,0.15375,0.37444,0.15556,0.1089,0.05582,2.29143,4.52877,2.67329,0.09175,0,0.000743468,0.000743468,0.000743468
104,282.097,1.23208,2.25779,1.21691,0.02531,1.7787,0.31285,0.26667,0.19754,0.11733,0.31285,0.26667,0.15743,0.06425,2.00715,4.19449,2.7965,0.08303,0,0.000738913,0.000738913,0.000738913
105,284.516,1.37006,2.24007,1.25389,0.03005,1.47967,0.21233,0.29345,0.26012,0.14756,0.37047,0.16667,0.18285,0.06904,2.21331,4.21421,2.49262,0.0935,0,0.000734332,0.000734332,0.000734332
106,287.037,1.16149,2.39702,1.09131,0.02674,1.17925,0.23836,0.32088,0.18174,0.11518,0.18439,0.24476,0.12403,0.03491,2.03692,4.23686,2.68773,0.08286,0,0.000729725,0.000729725,0.000729725
107,289.48,1.2333,2.26327,0.9942,0.02432,1.22862,0.35177,0.16667,0.22238,0.13384,0.35177,0.16667,0.15505,0.06444,2.07183,4.2547,2.30962,0.0864,0,0.000725094,0.000725094,0.000725094
108,292.112,1.32769,2.60719,1.3726,0.02764,1.47136,0.45082,0.31735,0.30704,0.16628,0.29303,0.21111,0.12503,0.06239,1.98548,4.17135,2.40842,0.08143,0,0.000720439,0.000720439,0.000720439
109,294.533,1.253,2.42765,1.05738,0.02648,1.32217,0.68473,0.32222,0.39095,0.22347,0.49702,0.21111,0.1846,0.07828,1.89157,4.14487,2.25113,0.0765,0,0.000715761,0.000715761,0.000715761
110,297.1,1.2147,2.49734,1.31155,0.02339,1.74853,0.54621,0.37088,0.42176,0.21599,0.54609,0.21111,0.19677,0.08998,1.97316,4.18167,2.25138,0.07928,0,0.000711059,0.000711059,0.000711059
111,299.623,1.37493,2.39949,1.37315,0.0298,1.48687,0.35962,0.60875,0.42484,0.23673,0.64888,0.21111,0.22155,0.08288,2.04538,4.13115,2.16594,0.08171,0,0.000706335,0.000706335,0.000706335
112,302.234,1.44244,2.67317,1.10557,0.03109,1.5181,0.39038,0.57778,0.41204,0.22645,0.42951,0.1916,0.26654,0.07919,2.00432,4.09261,2.27978,0.07757,0,0.000701588,0.000701588,0.000701588
113,304.647,1.35386,2.60516,1.36682,0.0275,1.28191,0.3343,0.4498,0.3974,0.21653,0.75964,0.15556,0.22739,0.07519,2.21435,4.14019,2.22393,0.08842,0,0.00069682,0.00069682,0.00069682
114,307.104,1.26333,2.24426,1.06509,0.02544,1.32476,0.44014,0.30791,0.34045,0.17782,0.61721,0.15556,0.13437,0.06088,1.9117,4.13674,2.77792,0.07446,0,0.000692031,0.000692031,0.000692031
115,309.598,1.21247,2.30128,0.97453,0.02222,1.36435,0.48004,0.26109,0.27667,0.13051,0.20778,0.21111,0.12062,0.02978,1.78329,4.08113,3.08722,0.06961,0,0.000687222,0.000687222,0.000687222
116,312.158,1.2071,2.6431,1.1661,0.02505,1.44077,0.48178,0.51001,0.39339,0.15765,0.39194,0.23239,0.13648,0.04836,1.8719,4.16157,2.76407,0.07614,0,0.000682392,0.000682392,0.000682392
117,314.55,1.33393,2.23018,1.24592,0.02683,1.33796,0.55355,0.47778,0.39002,0.14095,0.26306,0.21111,0.10872,0.04258,1.8732,4.24295,2.75493,0.07552,0,0.000677543,0.000677543,0.000677543
118,317.044,1.28677,2.42823,1.19535,0.02814,1.31958,0.74439,0.52995,0.4858,0.20668,0.36424,0.26667,0.18955,0.0533,2.04364,4.30034,2.34422,0.08387,0,0.000672675,0.000672675,0.000672675
